BOXY.EXE: ISS Imagent and Oximeter Data Acquisition Program Version 0.80
Ascii Record File

#ACQ INFORMATION
3  Detector Channels 
8  External MUX Channels 
1  Auxiliary Channels 
5000  Waveform (CCF) Frequency (Hz)
1  Waveforms Skipped 
48  Waveforms Averaged 
2  Cycles Averaged 
16  Acquisitions per Waveform 
6.3776  Updata Rate (Hz) 

#FILE INFORMATION
TRUE -- External MUX Channel results are PARSED.
FALSE -- AC DC and Phase are NOT grouped.
TRUE -- Companion Program Settings File CREATED.
FALSE -- AC data not excluded
FALSE -- DC data not excluded
FALSE -- Phase data not excluded
FALSE -- Auxillary Chn. data not excluded
Tab delimiters

#CALIBRATION STATE
FALSE -- Waveform Calibration Values NOT applied.


#AUX CALIBRATION VALUES
Val Type	aux-1	

Term	1.0000e+00	
Factor	0.0000e+00	


#WF CALIBRATION VALUES
A = Detector Channel
Val Type	A-AC1	A-AC2	A-AC3	A-AC4	A-AC5	A-AC6	A-AC7	A-AC8	A-DC1	A-DC2	A-DC3	A-DC4	A-DC5	A-DC6	A-DC7	A-DC8	A-Ph1	A-Ph2	A-Ph3	A-Ph4	A-Ph5	A-Ph6	A-Ph7	A-Ph8	

Term	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	-1.62543e+02	-8.78951e+01	-1.78588e+02	-7.37974e+01	1.88419e+01	-9.78537e+01	-5.09759e+01	-7.56597e+01	
Factor	3.72829e-01	4.23542e-03	3.15573e-01	2.67883e-03	4.18677e-01	2.98744e-03	1.90848e-01	2.89063e-03	1.67158e-01	1.93245e-03	1.46227e-01	1.26391e-03	1.85280e-01	1.35962e-03	8.52207e-02	1.36328e-03	X	X	X	X	X	X	X	X	

B = Detector Channel
Val Type	B-AC1	B-AC2	B-AC3	B-AC4	B-AC5	B-AC6	B-AC7	B-AC8	B-DC1	B-DC2	B-DC3	B-DC4	B-DC5	B-DC6	B-DC7	B-DC8	B-Ph1	B-Ph2	B-Ph3	B-Ph4	B-Ph5	B-Ph6	B-Ph7	B-Ph8	

Term	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	-1.20506e+02	-9.57202e+01	-8.90020e+01	-1.01738e+02	3.58480e+01	-7.58967e+01	-3.90731e+01	-9.59873e+01	
Factor	1.69668e+03	2.09304e+01	1.67456e+03	1.37520e+01	1.81551e+03	1.54192e+01	8.96545e+02	1.47699e+01	3.12805e+02	6.18978e+00	4.15629e+02	4.48925e+00	4.73661e+02	4.86618e+00	2.83355e+02	4.81375e+00	X	X	X	X	X	X	X	X	

C = Detector Channel
Val Type	C-AC1	C-AC2	C-AC3	C-AC4	C-AC5	C-AC6	C-AC7	C-AC8	C-DC1	C-DC2	C-DC3	C-DC4	C-DC5	C-DC6	C-DC7	C-DC8	C-Ph1	C-Ph2	C-Ph3	C-Ph4	C-Ph5	C-Ph6	C-Ph7	C-Ph8	

Term	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	-1.02582e-01	4.22528e+00	3.64753e+00	8.04052e+00	9.01559e+00	1.55722e+01	1.62106e+01	2.07134e+01	
Factor	1.62900e-04	1.47377e-04	1.45747e-04	1.43253e-04	1.49642e-04	1.50118e-04	1.54558e-04	1.51961e-04	7.44515e-05	6.79384e-05	6.73512e-05	6.62143e-05	6.98251e-05	6.90425e-05	7.14544e-05	7.04075e-05	X	X	X	X	X	X	X	X	



#DISTANCE SETTINGS
A = Detector Channel
A-1	A-2	A-3	A-4	A-5	A-6	A-7	A-8	

2.5000e+00	3.0000e+00	2.5000e+00	3.0000e+00	2.0000e+00	3.0000e+00	1.5000e+00	3.0000e+00	

B = Detector Channel
B-1	B-2	B-3	B-4	B-5	B-6	B-7	B-8	

3.0000e+00	3.0000e+00	3.0000e+00	3.0000e+00	3.0000e+00	3.0000e+00	1.5000e+00	3.0000e+00	

C = Detector Channel
C-1	C-2	C-3	C-4	C-5	C-6	C-7	C-8	

1.5000e+00	2.0000e+00	2.5000e+00	3.0000e+00	1.5000e+00	2.0000e+00	2.5000e+00	3.0000e+00	




#DATA BEGINS
time	group	step	mark	flag	A-AC1	A-AC2	A-AC3	A-AC4	A-AC5	A-AC6	A-AC7	A-AC8	A-DC1	A-DC2	A-DC3	A-DC4	A-DC5	A-DC6	A-DC7	A-DC8	A-Ph1	A-Ph2	A-Ph3	A-Ph4	A-Ph5	A-Ph6	A-Ph7	A-Ph8	B-AC1	B-AC2	B-AC3	B-AC4	B-AC5	B-AC6	B-AC7	B-AC8	B-DC1	B-DC2	B-DC3	B-DC4	B-DC5	B-DC6	B-DC7	B-DC8	B-Ph1	B-Ph2	B-Ph3	B-Ph4	B-Ph5	B-Ph6	B-Ph7	B-Ph8	C-AC1	C-AC2	C-AC3	C-AC4	C-AC5	C-AC6	C-AC7	C-AC8	C-DC1	C-DC2	C-DC3	C-DC4	C-DC5	C-DC6	C-DC7	C-DC8	C-Ph1	C-Ph2	C-Ph3	C-Ph4	C-Ph5	C-Ph6	C-Ph7	C-Ph8	aux-1	digaux	

541.821	1	1	0	768	0.21953	0.14962	0.11816	0.18276	0.087606	0.1026	0.19319	0.13827	-1.4284	-1.7233	-1.401	-1.8757	-1.5924	-1.597	-1.6042	-1.513	376.072	189.112	262.895	390.998	112.179	296.720	426.707	302.214	0.15329	0.11073	0.18317	0.19065	0.23736	0.1056	0.15932	0.1987	-1.5156	-1.877	-1.5241	-2.0378	-1.6673	-1.9857	-1.862	-1.7559	285.819	391.420	105.785	213.291	436.758	228.527	153.420	177.166	1474.2	1475.1	1475.1	1475	1475	1475.1	1475.1	1475.1	3404.3	3406	3406.1	3406.1	3406.1	3406.1	3406.1	3406.1	261.445	261.445	261.448	261.449	261.446	261.448	261.446	261.447	-8191	255	
541.992	1	1	0	0	0.22188	0.056848	0.16017	0.12511	0.052599	0.12144	0.098665	0.13432	-1.2077	-1.6934	-1.6387	-1.4219	-1.9193	-1.4798	-1.7044	-1.6198	364.009	213.136	301.768	265.242	251.282	386.243	205.595	317.229	0.11191	0.11165	0.11486	0.20796	0.16327	0.16345	0.09767	0.079533	-1.4167	-1.8939	-1.9303	-1.6016	-2.1094	-1.6784	-1.8066	-1.8997	439.820	228.555	331.761	81.984	138.376	424.878	180.039	348.279	1474.3	1475	1475.1	1475.1	1475.1	1475.1	1475.1	1475.2	3404.3	3406.2	3406	3406.1	3406	3406.1	3406.1	3406	261.446	261.448	261.446	261.444	261.441	261.443	261.450	261.445	-8191	255	
542.161	1	1	0	0	0.19686	0.15207	0.10357	0.12708	0.13594	0.17016	0.05848	0.13842	-1.4193	-1.5026	-1.5462	-1.6061	-1.4336	-1.8203	-1.4167	-1.7337	257.022	296.443	230.831	115.216	205.891	440.674	205.461	150.252	0.11963	0.14704	0.18519	0.15049	0.13991	0.21358	0.12923	0.13895	-1.694	-1.5794	-1.7246	-1.8346	-1.5996	-2.0879	-1.541	-1.8854	84.028	172.439	94.910	378.899	214.368	237.992	360.653	385.016	1474.3	1475	1475	1475	1475.1	1475	1475	1475	3404.3	3406.1	3406.1	3406.1	3406.1	3406.1	3406.2	3406.1	261.447	261.440	261.447	261.445	261.445	261.440	261.443	261.446	-8191	255	
542.314	1	1	0	0	0.16881	0.064537	0.17202	0.10923	0.10117	0.1415	0.17486	0.098484	-1.0189	-1.6634	-1.5208	-1.6191	-1.6257	-1.4596	-1.8079	-1.4238	142.785	331.759	282.494	249.197	283.869	269.594	330.102	230.962	0.077477	0.044131	0.089691	0.035109	0.12983	0.11882	0.042951	0.19178	-1.2741	-2.0111	-1.6771	-1.7598	-1.7682	-1.5788	-2.084	-1.4974	94.877	296.153	217.467	307.198	150.165	264.614	301.416	131.863	1474.3	1475.1	1475.1	1475	1475	1475.1	1475	1475	3404.2	3406.1	3406.1	3406.1	3406.1	3406.1	3406.1	3406.1	261.444	261.448	261.445	261.446	261.450	261.444	261.448	261.444	-8191	255	
542.467	1	1	0	0	0.11575	0.16565	0.13209	0.10298	0.18568	0.14283	0.13471	0.14909	-1.3633	-1.431	-1.8763	-1.5182	-1.6296	-1.6361	-1.377	-1.7161	404.030	232.909	315.970	294.009	300.676	302.387	289.986	328.571	0.20404	0.17959	0.14079	0.07277	0.13041	0.11139	0.089155	0.18544	-1.5137	-1.4707	-2.0482	-1.6816	-1.8659	-1.8965	-1.5378	-2.0625	287.665	413.824	93.097	353.225	162.876	430.727	261.262	188.379	1474.1	1475	1475	1475.1	1475	1475	1475.1	1475.1	3404.3	3406.1	3406.1	3406	3406.2	3406.1	3406.2	3406.1	261.447	261.444	261.446	261.445	261.445	261.444	261.446	261.450	-8191	255	
542.618	1	1	0	0	0.088242	0.12257	0.090705	0.19087	0.18687	0.14278	0.22206	0.066097	-1.1862	-1.7135	-1.4225	-1.7728	-1.5801	-1.6764	-1.7441	-1.4616	153.003	293.555	195.346	290.228	220.901	226.440	262.555	424.373	0.10941	0.13352	0.11801	0.074368	0.15104	0.12393	0.096166	0.1988	-1.332	-1.9056	-1.6152	-2.0358	-1.75	-1.8828	-1.9681	-1.5944	280.896	305.015	414.781	234.332	293.585	357.890	228.201	183.691	1474.2	1475.1	1475	1475.1	1475.1	1475	1475.1	1475.1	3404.3	3406	3406.1	3406	3406.1	3406.2	3406.1	3406.1	261.445	261.439	261.445	261.447	261.446	261.443	261.447	261.449	-8191	255	
542.789	1	1	0	0	0.22053	0.15791	0.20283	0.21033	0.15847	0.1742	0.14102	0.099729	-1.2923	-1.623	-1.7845	-1.3574	-1.8021	-1.5527	-1.7311	-1.6777	425.655	255.723	344.538	410.853	82.296	230.233	265.762	239.190	0.10646	0.12604	0.18917	0.21466	0.071081	0.077424	0.18551	0.10765	-1.3633	-1.8164	-1.9154	-1.4661	-2.0612	-1.666	-1.8171	-1.9297	242.492	376.472	157.329	111.169	166.829	441.023	422.374	414.542	1474.3	1475	1475.1	1475.1	1475.3	1475.1	1475	1475	3404.3	3406.1	3406	3406.1	3406	3406	3406.1	3406	261.445	261.445	261.446	261.445	261.450	261.446	261.448	261.448	-8191	255	
542.941	1	1	0	0	0.13473	0.054561	0.076461	0.1587	0.076821	0.14468	0.24595	0.12065	-1.3229	-1.5169	-1.554	-1.7826	-1.4167	-1.7773	-1.4733	-1.6003	333.008	413.403	276.673	107.850	142.843	188.807	262.136	215.161	0.13866	0.14684	0.13949	0.196	0.16519	0.18435	0.15022	0.15917	-1.5267	-1.7507	-1.7493	-1.7786	-1.6341	-2.0039	-1.7109	-1.8249	211.419	104.896	121.743	419.543	353.977	435.552	183.377	284.125	1474.3	1475.2	1475.1	1475	1475.1	1475	1475.1	1475.1	3404.3	3406.1	3406.2	3406.1	3406.1	3406	3406.1	3406.1	261.441	261.446	261.441	261.446	261.445	261.448	261.452	261.443	-8191	255	
543.093	1	1	0	0	0.14397	0.14163	0.091359	0.1665	0.19439	0.20062	0.11557	0.14757	-0.96745	-1.724	-1.5039	-1.485	-1.722	-1.2936	-1.8223	-1.4557	156.942	261.275	237.143	310.786	218.605	160.830	368.213	305.607	0.16681	0.14357	0.1411	0.084012	0.10413	0.10417	0.16092	0.060446	-1.099	-1.9251	-1.627	-1.6328	-1.8874	-1.4896	-1.9531	-1.6152	197.283	401.009	247.185	387.321	367.528	151.652	221.558	429.476	1474.3	1475.1	1475.2	1475.1	1475	1475	1475	1475	3404.2	3406.1	3406	3406.1	3406.1	3406.1	3406.1	3406.1	261.446	261.446	261.447	261.446	261.446	261.445	261.444	261.449	-8191	255	
