BOXY.EXE: ISS Imagent and Oximeter Data Acquisition Program Version 0.80
Ascii Record File

#ACQ INFORMATION
2  Detector Channels 
16  External MUX Channels 
1  Auxiliary Channels 
5000  Waveform (CCF) Frequency (Hz)
1  Waveforms Skipped 
30  Waveforms Averaged 
1  Cycles Averaged 
16  Acquisitions per Waveform 
10.0806  Updata Rate (Hz) 

#FILE INFORMATION
TRUE -- External MUX Channel results are PARSED.
FALSE -- AC DC and Phase are NOT grouped.
TRUE -- Companion Program Settings File CREATED.
FALSE -- AC data not excluded
FALSE -- DC data not excluded
FALSE -- Phase data not excluded
FALSE -- Auxillary Chn. data not excluded
Tab delimiters

#CALIBRATION STATE
TRUE -- Waveform Calibration Values APPLIED.


#AUX CALIBRATION VALUES
Val Type	aux-1	

Term	1.0000e+00	
Factor	0.0000e+00	


#WF CALIBRATION VALUES
A = Detector Channel
Val Type	A-AC1	A-AC2	A-AC3	A-AC4	A-AC5	A-AC6	A-AC7	A-AC8	A-AC9	A-AC10	A-AC11	A-AC12	A-AC13	A-AC14	A-AC15	A-AC16	A-DC1	A-DC2	A-DC3	A-DC4	A-DC5	A-DC6	A-DC7	A-DC8	A-DC9	A-DC10	A-DC11	A-DC12	A-DC13	A-DC14	A-DC15	A-DC16	A-Ph1	A-Ph2	A-Ph3	A-Ph4	A-Ph5	A-Ph6	A-Ph7	A-Ph8	A-Ph9	A-Ph10	A-Ph11	A-Ph12	A-Ph13	A-Ph14	A-Ph15	A-Ph16	

Term	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	
Factor	1.00000e+00	1.00000e+00	1.00000e+00	1.00000e+00	1.00000e+00	1.00000e+00	1.00000e+00	1.00000e+00	1.00000e+00	1.00000e+00	1.00000e+00	1.00000e+00	1.00000e+00	1.00000e+00	1.00000e+00	1.00000e+00	1.00000e+00	1.00000e+00	1.00000e+00	1.00000e+00	1.00000e+00	1.00000e+00	1.00000e+00	1.00000e+00	1.00000e+00	1.00000e+00	1.00000e+00	1.00000e+00	1.00000e+00	1.00000e+00	1.00000e+00	1.00000e+00	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	

B = Detector Channel
Val Type	B-AC1	B-AC2	B-AC3	B-AC4	B-AC5	B-AC6	B-AC7	B-AC8	B-AC9	B-AC10	B-AC11	B-AC12	B-AC13	B-AC14	B-AC15	B-AC16	B-DC1	B-DC2	B-DC3	B-DC4	B-DC5	B-DC6	B-DC7	B-DC8	B-DC9	B-DC10	B-DC11	B-DC12	B-DC13	B-DC14	B-DC15	B-DC16	B-Ph1	B-Ph2	B-Ph3	B-Ph4	B-Ph5	B-Ph6	B-Ph7	B-Ph8	B-Ph9	B-Ph10	B-Ph11	B-Ph12	B-Ph13	B-Ph14	B-Ph15	B-Ph16	

Term	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	-1.70999e+02	-1.26624e+02	-1.31946e+02	-1.81681e+02	-8.38430e+01	-6.15144e+01	-1.55768e+02	-1.62015e+02	-8.17298e+01	-6.09818e+01	-1.73366e+02	-1.70201e+02	-1.85495e+02	-1.76578e+02	-7.50407e+01	-1.48946e+02	
Factor	2.98320e-05	1.70198e-04	4.81572e-05	1.97322e-01	1.68102e-06	1.85928e-06	1.81490e-01	5.63415e-02	1.68352e-06	1.92753e-06	1.03880e-01	3.00027e-02	5.63894e-02	9.68439e-03	1.64368e-06	1.34226e-02	1.04390e-05	1.42882e-05	3.99355e-06	1.02381e-01	1.49160e-07	1.58564e-07	8.84142e-02	2.93229e-02	1.48249e-07	1.58193e-07	5.25074e-02	1.52244e-02	2.95252e-02	5.08567e-03	1.51927e-07	6.84643e-03	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	



#DISTANCE SETTINGS
A = Detector Channel
A-1	A-2	A-3	A-4	A-5	A-6	A-7	A-8	A-9	A-10	A-11	A-12	A-13	A-14	A-15	A-16	

2.5000e+00	3.0000e+00	2.5000e+00	3.0000e+00	2.0000e+00	3.0000e+00	1.5000e+00	3.0000e+00	3.0000e+00	3.0000e+00	3.0000e+00	3.0000e+00	3.0000e+00	3.0000e+00	1.5000e+00	3.0000e+00	

B = Detector Channel
B-1	B-2	B-3	B-4	B-5	B-6	B-7	B-8	B-9	B-10	B-11	B-12	B-13	B-14	B-15	B-16	

1.0000e+01	1.0000e+01	1.0000e+01	1.4400e+00	1.0000e+01	1.0000e+01	1.5100e+00	1.9400e+00	1.0000e+01	1.0000e+01	1.9900e+00	2.4900e+00	2.4100e+00	2.9000e+00	1.0000e+01	2.9800e+00	




#DATA BEGINS
time	group	step	mark	flag	A-AC1	A-AC2	A-AC3	A-AC4	A-AC5	A-AC6	A-AC7	A-AC8	A-AC9	A-AC10	A-AC11	A-AC12	A-AC13	A-AC14	A-AC15	A-AC16	A-DC1	A-DC2	A-DC3	A-DC4	A-DC5	A-DC6	A-DC7	A-DC8	A-DC9	A-DC10	A-DC11	A-DC12	A-DC13	A-DC14	A-DC15	A-DC16	A-Ph1	A-Ph2	A-Ph3	A-Ph4	A-Ph5	A-Ph6	A-Ph7	A-Ph8	A-Ph9	A-Ph10	A-Ph11	A-Ph12	A-Ph13	A-Ph14	A-Ph15	A-Ph16	B-AC1	B-AC2	B-AC3	B-AC4	B-AC5	B-AC6	B-AC7	B-AC8	B-AC9	B-AC10	B-AC11	B-AC12	B-AC13	B-AC14	B-AC15	B-AC16	B-DC1	B-DC2	B-DC3	B-DC4	B-DC5	B-DC6	B-DC7	B-DC8	B-DC9	B-DC10	B-DC11	B-DC12	B-DC13	B-DC14	B-DC15	B-DC16	B-Ph1	B-Ph2	B-Ph3	B-Ph4	B-Ph5	B-Ph6	B-Ph7	B-Ph8	B-Ph9	B-Ph10	B-Ph11	B-Ph12	B-Ph13	B-Ph14	B-Ph15	B-Ph16	aux-1	digaux	

21888.297	1	1	0	768	0.18754	0.12235	0.12217	0.17109	0.17237	0.075291	0.27548	0.099811	0.077544	0.060842	0.14522	0.27169	0.12716	0.23548	0.10688	0.28925	-2.35	-2.7	-2.6333	-2.9917	-2.8583	-2.7271	-2.8563	-2.6188	-2.8979	-2.7708	-2.8333	-2.9771	-2.7729	-2.7687	-2.975	-2.8167	32.087	242.934	64.189	173.765	65.172	242.192	262.215	284.107	154.804	190.817	243.678	292.758	119.177	304.371	-14.329	274.114	0.00079717	0.00092709	0.0003244	662.37	1.1814e-05	1.5977e-05	988.47	270.97	1.9256e-05	1.8362e-05	479.82	208.72	120.15	60.021	1.385e-05	111.19	0.030136	0.038226	0.01081	947.46	0.00040166	0.00043837	1220.9	346.59	0.00042322	0.00042541	617.45	252.87	199.36	74.136	0.0004272	129.91	85.573	306.076	300.131	-37.150	84.683	49.423	-37.579	-33.676	50.365	-20.330	-34.595	-31.648	-30.398	-27.486	-14.561	-28.682	-8191	255	
21888.393	1	1	0	0	0.24871	0.049601	0.096689	0.21367	0.22579	0.19233	0.11549	0.097562	0.17064	0.25641	0.26383	0.14445	0.27473	0.26027	0.19126	0.36232	-2.4083	-2.7104	-2.3542	-3.0333	-2.6271	-2.8896	-3.1146	-2.7792	-3.05	-2.8625	-2.6667	-3.0396	-2.7167	-2.7083	-2.9667	-2.7	-40.983	28.222	-38.830	274.855	36.487	-25.770	55.549	258.253	3.250	285.043	241.743	-46.983	213.476	231.780	37.063	192.108	0.0003603	0.00040404	0.00049475	655	7.5682e-06	7.7397e-06	979.75	270.17	1.4681e-05	2.4127e-05	481.91	210.41	119.54	60.282	1.3613e-05	110.95	0.030077	0.038952	0.010924	943.24	0.00040881	0.00043829	1221.5	348.3	0.00042655	0.00043872	620.96	255.11	200.01	74.316	0.00043366	130.12	169.504	92.426	84.532	-37.214	157.631	27.811	-37.501	-33.779	63.390	105.252	-34.574	-31.683	-30.807	-27.493	105.014	-28.598	-8191	255	
21888.488	1	1	0	0	0.21325	0.24147	0.10104	0.057653	0.16629	0.11122	0.092926	0.27292	0.24108	0.2124	0.23382	0.25229	0.18894	0.21413	0.27692	0.042641	-2.3854	-2.8542	-2.4021	-2.8937	-2.5938	-2.8375	-3.0542	-2.6458	-2.8104	-2.6146	-2.3604	-3.0958	-2.6646	-2.6688	-3.0333	-2.7875	306.970	170.293	92.223	131.479	203.812	242.013	269.315	230.934	145.537	106.607	235.435	-30.041	48.668	231.841	184.866	241.964	0.0003937	0.0020685	0.00048853	652.44	1.3985e-05	1.5699e-05	971.9	268.07	1.0586e-05	2.9109e-06	475.42	210.08	119.81	60.122	5.8011e-06	109.48	0.029681	0.039512	0.010813	943.55	0.00040614	0.0004335	1220.2	346.25	0.00041749	0.00044287	616.97	253.92	199.98	73.992	0.00043875	128.58	145.628	212.610	-14.769	-37.288	126.017	157.051	-37.651	-33.579	105.458	107.253	-34.635	-31.663	-31.363	-27.983	288.975	-28.622	-8191	255	
21888.586	1	1	0	0	0.15824	0.12468	0.10277	0.21158	0.2	0.11273	0.20145	0.033896	0.16251	0.024006	0.071466	0.12906	0.062926	0.031312	0.097254	0.19231	-2.4375	-2.6875	-2.5125	-2.8979	-2.8646	-2.4958	-3.1583	-2.5208	-2.6521	-2.9146	-2.7438	-3.1042	-2.7875	-2.8021	-2.8854	-2.6896	255.199	219.430	82.156	153.904	81.548	-21.972	275.253	213.901	158.843	287.587	163.757	153.085	-3.387	244.003	234.978	259.653	0.0005387	0.00029752	9.7961e-05	642.39	4.5765e-06	6.3794e-06	949.38	263.15	1.6729e-05	2.1856e-05	468.92	204.97	116.94	58.558	2.7334e-05	107.37	0.029276	0.040381	0.010823	929.06	0.00040805	0.00043263	1198.6	340.34	0.000412	0.00045161	610.05	249.2	199.07	72.56	0.00044401	126.59	122.732	175.454	296.237	-37.186	94.298	139.608	-37.616	-33.544	154.908	77.703	-34.881	-31.510	-31.074	-27.685	61.551	-28.761	-8191	255	
21888.682	1	1	0	0	0.1166	0.54866	0.18121	0.20565	0.18776	0.089542	0.1181	0.3109	0.026436	0.14685	0.11487	0.18805	0.21832	0.06491	0.19854	0.23861	-2.0271	-2.9271	-2.4437	-2.7687	-2.6042	-2.5604	-3.1083	-2.6896	-2.7812	-2.9917	-2.6167	-3.1729	-2.8896	-2.5271	-2.825	-2.8667	19.808	210.249	183.915	307.039	0.863	-50.204	305.898	258.949	209.533	26.558	213.563	237.309	280.213	249.654	-22.705	241.337	0.00038393	0.0021802	0.00061819	634.98	5.8127e-06	5.9555e-06	935.64	259	7.4821e-06	1.7521e-05	462.77	203.26	115.71	57.065	2.746e-05	106.11	0.029191	0.041273	0.01088	918.34	0.00041477	0.0004337	1187	337.25	0.00041153	0.0004591	605.43	246.01	199.09	71.208	0.00044533	125.2	155.338	31.097	282.217	-37.017	277.415	-5.485	-37.850	-33.607	-25.722	152.659	-34.771	-31.495	-31.459	-27.388	52.374	-28.461	-8191	255	
21888.777	1	1	0	0	0.12841	0.096616	0.059243	0.14551	0.19911	0.15626	0.093	0.32891	0.16916	0.30034	0.10726	0.39601	0.26993	0.086711	0.15929	0.11865	-2.1958	-2.8667	-2.2771	-2.9062	-2.8646	-2.6646	-2.8896	-2.7562	-2.5438	-2.9542	-2.7354	-2.9875	-2.9104	-2.4646	-2.95	-3.0563	-4.952	48.051	125.500	81.834	-47.703	196.239	271.932	241.662	36.459	64.270	306.844	249.930	289.381	142.355	219.249	-2.154	0.000299	0.0009485	0.0004842	627.62	2.4932e-05	1.0893e-05	933.51	258.3	2.6395e-05	1.8858e-05	462.16	200.77	114.83	57.154	2.3416e-06	105.79	0.029204	0.041962	0.010989	911.39	0.00042352	0.00043596	1186.3	337.55	0.0004104	0.000462	603.27	243.66	199.15	70.973	0.0004412	125.09	114.187	83.901	-40.239	-37.332	116.225	125.712	-37.540	-33.674	131.051	84.991	-34.725	-31.522	-30.889	-27.399	-49.857	-28.591	-8191	255	
21888.898	1	1	0	0	0.092064	0.27796	0.23615	0.18808	0.22493	0.12716	0.24417	0.21627	0.1011	0.20133	0.19976	0.2183	0.11119	0.051068	0.15241	0.19679	-2.2667	-2.9104	-2.4979	-2.7583	-2.825	-2.6417	-2.8854	-2.9021	-2.7208	-2.9583	-2.7438	-2.8708	-3.0375	-2.6521	-2.9021	-2.9583	50.900	104.217	262.175	169.152	164.557	209.089	236.548	266.948	249.021	-18.286	245.430	156.303	-4.176	240.700	61.183	208.665	0.00054407	0.0013484	0.00031021	626.57	1.0779e-05	2.7031e-05	924.91	257.14	1.3511e-05	1.9423e-05	462.15	199.09	114.12	56.122	1.4384e-06	103.62	0.02897	0.042035	0.010932	905.4	0.00043216	0.00043949	1178.1	338.25	0.00041334	0.00047047	603.11	242.24	200.7	70.068	0.00043984	123.35	178.153	166.595	18.731	-36.967	203.652	183.136	-37.460	-33.471	10.967	60.657	-34.495	-31.590	-31.205	-27.609	7.685	-28.799	-8191	255	
21888.994	1	1	0	0	0.17058	0.14878	0.033998	0.16709	0.22261	0.10762	0.19251	0.12192	0.12203	0.31878	0.19149	0.35178	0.10939	0.11076	0.19768	0.33721	-2.3167	-2.9062	-2.5542	-2.6312	-2.9	-2.6333	-2.9771	-3.0062	-2.4396	-2.7562	-2.7667	-2.9083	-2.8563	-2.7271	-2.8125	-3.0458	164.523	127.484	261.101	259.520	229.888	-18.144	225.859	48.954	3.380	96.129	212.319	267.590	11.293	44.007	58.868	213.650	0.00080595	0.0011471	0.00048065	618.65	8.7769e-06	6.3522e-06	919.11	256.96	2.5501e-05	3.8571e-05	455.26	197.96	112.12	55.697	6.9003e-06	102.98	0.029181	0.042522	0.011019	900.94	0.0004397	0.00044261	1165.2	338.95	0.00041143	0.00046612	600.37	240.57	200.37	69.538	0.00043211	122.77	123.576	131.649	302.109	-36.958	186.289	58.751	-37.473	-33.455	73.417	69.376	-34.654	-31.705	-30.604	-27.273	70.491	-28.347	-8191	255	
21889.090	1	1	0	0	0.14963	0.1216	0.42116	0.155	0.32515	0.32681	0.1647	0.18558	0.19334	0.19524	0.24899	0.17839	0.21884	0.26312	0.1189	0.082072	-2.2125	-2.9104	-2.5375	-2.8208	-3.0708	-2.6167	-2.9521	-2.9938	-2.4292	-2.8521	-2.8875	-2.9583	-3	-2.6146	-2.8375	-3.1688	227.621	-26.730	231.879	251.374	-21.024	-40.541	42.427	-25.140	52.641	194.603	248.826	218.091	275.496	303.810	-22.447	12.109	0.00031397	0.0014765	0.00056403	615.27	2.5946e-05	5.1701e-06	913.53	252.53	1.8309e-05	2.3776e-05	456.64	197.25	112.66	54.948	1.9673e-05	102.56	0.028753	0.041858	0.01103	891.02	0.00043701	0.00043742	1155.5	336.77	0.0004068	0.00046044	598.24	239.09	199.43	69.014	0.00042685	122.44	70.716	21.079	100.100	-37.060	94.350	140.394	-37.283	-33.621	207.235	-20.028	-34.616	-31.489	-30.600	-27.365	72.346	-28.337	-8191	255	
