Mark	Timestamp	Sync Time	Frame	Event	Comments
1	05-18-2015 13:18:45.411	3514814325.411835	15	left start ACQ	
2	05-18-2015 13:19:20.028	3514814360.028815	21	left end ACQ	-
3	05-18-2015 13:19:58.916	3514814398.916039	29	right start ACQ	-
4	05-18-2015 13:20:31.163	3514814431.163883	35	right end ACQ	-
5	05-18-2015 13:22:56.660	3514814576.660205	64	right start ACQ	-
6	05-18-2015 13:23:46.412	3514814626.412051	74	right end ACQ	-
7	05-18-2015 13:24:10.592	3514814650.592434	78	right end ACQ	-
8	05-18-2015 13:25:19.540	3514814719.540378	92	left start ACQ	-
9	05-18-2015 13:26:13.767	3514814773.767479	102	left end ACQ	-
