Right_Parietal_STD,Right_Forehead_STD,Left_Forehead_STD,Left_Parietal_STD
2.30817819464911,0.597239876809511,2.48403210571408,9.58438838397873
11.3635067913672,4.75336784234368,8.27128015185198,0.605156753434638
5.58322277247984,6.60792225629673,9.83999644486213,1.85050146741085
NaN,0,2.04197380965973,1.95305583027601
1.55439447181104,4.7873807074441,4.24862994848779,NaN
9.37550989342508,1.11799829666418,16.8823031665484,4.45156458891372
4.4445246691383,10.0821515798745,2.12185695356269,1.2347146672909
5.93526452546324,3.44632188176494,0.943408733791208,6.7221467495092
6.85084548225223,8.60035165836099,6.77404943680368,4.39321319506333
1.21633513313515,3.59616919060093,2.20045452482337,0
2.00135669640577,2.68454982262165,2.8911679928866,0.516177707450846
