Right_Parietal,Right_Forehead,Left_Forehead,Left_Parietal
51.1293510490083,38.2608133906434,55.8292541671251,40.7448222510398
38.823997120572,34.4390486132528,30.5362842475169,32.7644696034429
48.0556007889819,17.2515238998669,25.4142987551217,36.1182683696331
NaN,29.6632749421278,24.1752697113378,35.2817497652062
39.8244826434963,21.5134928974548,40.3372027379429,NaN
40.7026813346002,19.3721390421077,28.1202692685972,36.4218760985259
73.8300724373673,55.4901803212656,52.757266041844,81.0886250114405
88.8328673897819,66.7149880957614,71.0948246094085,71.6362410349606
66.0918100887066,67.3093431818502,37.4097670242296,91.6220204709312
52.3623428533585,41.1036469339698,34.1996664829695,66.0219306780191
39.4873803953128,39.9559078688003,39.5664075313314,61.6831172501518
