Right_Parietal,Right_Forehead,Left_Forehead,Left_Parietal
63.2780878363492,51.1560768569176,53.6903213439309,62.3729144763649
55.2792403204313,47.8107233243793,48.189726323832,55.2725251146159
59.0256876613996,37.9925360934895,50.1218891876303,58.2253112498272
NaN,63.8112869478607,56.2228128050982,68.7729080754791
NaN,47.8083447927788,45.4469975943623,68.7729080754791
60.4544513702768,50.4864886928459,61.2827934774482,NaN
59.2111596072379,50.3828975239998,45.6058314092076,40.024466907233
59.2111596072379,50.0707349653466,56.9921230666782,40.024466907233
59.2111596072379,41.4054549837722,50.744250652069,40.024466907233
59.2111596072379,42.8653529950504,41.236135390303,40.024466907233
66.8655048977301,67.5854186930023,69.3700887420075,71.3250746668236
66.8655048977301,64.4507875989457,61.7925929818974,71.3250746668236
65.8971903098926,61.1411284490734,64.474871236934,64.4765401578481
56.9367997885715,61.6651445730186,49.5401702491795,64.1868000053067
66.3983497196087,50.9749192880683,49.2072303784631,57.0884883790993
51.4577617114544,53.7590018745455,53.2600865224391,54.3611692022638
