Var1,Var2
44.9766740847901,1
NaN,1
NaN,1
NaN,1
48.0556007889819,1
NaN,1
39.8244826434963,1
40.7026813346002,1
75.6462055883058,1
45.9248616243356,1
NaN,1
32.3656475337627,2
49.9775614992046,2
28.7432170078352,2
28.5423293746973,2
29.7144112900628,2
46.1497639665778,2
37.7847743448346,2
22.270639105902,2
50.951640942703,2
46.6315729200657,2
32.739394449205,2
36.9606352320679,3
32.5518981967151,3
31.8390884884658,3
34.0673948130386,3
33.1714151935536,3
54.174181211349,3
38.5568765471017,3
27.8738597996197,3
54.3282206768934,3
45.173975635265,3
45.3635293417137,3
36.7546459272413,4
NaN,4
NaN,4
NaN,4
36.1182683696331,4
NaN,4
35.2817497652062,4
36.4218760985259,4
81.3588778821932,4
63.8525239640854,4
NaN,4
