Var1,Var2
59.2786640783902,1
NaN,1
NaN,1
NaN,1
59.0256876613996,1
NaN,1
60.4544513702768,1
59.2111596072379,1
64.1412499734811,1
58.9280557155315,1
NaN,1
48.7089833021808,2
58.2800010100653,2
42.6473963276388,2
42.7809169278649,2
41.5662477391783,2
44.572923583761,2
55.0423209562353,2
43.0437252148807,2
62.3266620511232,2
61.0639510969815,2
53.7896822314658,2
48.3327419756953,3
56.4875311755858,3
47.1203904489664,3
43.4514568409919,3
48.5449113928821,3
47.2254427942764,3
54.7225345910893,3
49.9954745796528,3
65.2620196803776,3
60.133369458613,3
62.9319711344328,3
58.8227197954904,4
NaN,4
NaN,4
NaN,4
58.2253112498272,4
NaN,4
68.7729080754791,4
40.024466907233,4
67.8283723742005,4
55.7248287906815,4
NaN,4
